country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
South Africa,24700000,24300000,25000000,26200000,26500000,27400000,29200000,29500000,31400000,32900000,35100000,36800000,38200000,37100000,39500000,42700000,50600000,55500000,56400000,60800000,62400000,63300000,64400000,69600000,65000000,67300000,66100000,66400000,66600000,68800000,71300000,72400000,74000000,71800000,75000000,74600000,74900000,71200000,79200000,86800000,80000000,81500000,83700000,93300000,93800000,92800000,90500000,88300000,88400000,89500000,84000000,90300000,88800000,89800000,91100000
South Korea,4950000,5610000,5350000,5050000,5270000,5630000,5690000,5830000,7370000,7610000,8040000,8960000,9780000,9890000,11800000,13200000,15200000,15500000,16500000,19900000,22000000,23300000,23600000,25200000,24500000,24100000,24200000,23600000,25800000,26500000,27500000,32100000,34900000,36100000,38200000,42900000,45700000,49100000,51100000,53200000,54800000,56700000,59700000,66100000,68600000,77100000,83700000,80600000,81500000,84400000,85400000,81500000,86200000,86700000,82100000
Spain,9700000,8970000,9120000,9230000,9290000,9810000,9860000,10100000,9890000,9580000,10600000,10300000,11000000,9470000,10800000,12400000,15300000,17000000,17900000,18200000,18000000,18600000,18100000,15700000,19300000,19200000,20000000,20400000,18400000,18900000,19000000,16000000,18400000,17500000,19600000,20900000,19200000,21600000,20100000,21000000,20500000,17900000,20000000,13500000,9430000,6900000,12800000,15500000,11400000,11600000,13700000,10500000,13400000,11100000,5020000
Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,441,2520,2620,1700,2290,1270,17800,17900,34800,21000,7870,7370,3780,441,0,567,567,384,347,1000,208,0,195,0,340,88.1,10900,59700,15700,58400,43800,42800,57600,58700,59900,299000,456000,480000,921000,1240000,1310000,1360000,1370000,1510000
Sweden,2230000,2130000,2110000,1840000,1800000,1900000,1720000,1470000,1630000,1800000,1940000,1860000,1480000,1520000,1790000,1710000,1470000,1630000,2050000,2470000,2910000,3100000,3060000,3010000,2840000,2960000,2890000,2690000,2740000,2780000,2780000,3080000,2630000,2650000,2530000,2570000,2780000,2990000,2930000,3010000,2750000,3040000,2830000,2830000,2000000,2750000,2460000,2110000,2150000,2020000,2020000,1980000,1980000,1980000,2020000
Switzerland,1280000,1050000,889000,841000,760000,653000,441000,373000,354000,305000,229000,215000,251000,226000,233000,342000,505000,447000,390000,501000,503000,433000,403000,344000,356000,356000,302000,209000,175000,177000,190000,142000,110000,91000,94600,138000,144000,133000,136000,129000,144000,156000,174000,157000,148000,148000,137000,123000,133000,136000,124000,114000,110000,102000,102000
Thailand,45000,65000,116000,128000,136000,145000,114000,89800,96100,144000,138000,160000,154000,198000,416000,450000,501000,653000,627000,789000,1590000,1560000,2250000,2310000,2820000,3900000,4570000,4890000,5440000,6300000,7180000,8740000,9010000,7230000,7690000,7880000,8780000,9370000,9570000,10700000,11600000,12400000,13900000,15000000,15000000,15400000,15700000,16500000,16200000,17900000,17500000,17900000,18000000,19100000,17100000
Trinidad and Tobago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey,3670000,4080000,3620000,3940000,4180000,4630000,4760000,5110000,5220000,5690000,5910000,6200000,6390000,6480000,6650000,7030000,7180000,8060000,8870000,9970000,11900000,13100000,13900000,13400000,15100000,16000000,17100000,17100000,15800000,15800000,16500000,18600000,20800000,21600000,20000000,22500000,18500000,19300000,20800000,22100000,22200000,26200000,29500000,29600000,30900000,31400000,33900000,36500000,31600000,36100000,34700000,38500000,39500000,40900000,40500000
Turkmenistan,,,,,,,,,,,,,,,,,,,,,322000,322000,322000,276000,322000,368000,322000,138000,0,5000,5000,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,,,,,,,,,,,,,,,,,,,,,84900000,84300000,83600000,78800000,71900000,83100000,73700000,72600000,64600000,51600000,51000000,38400000,37400000,38400000,38000000,38500000,37500000,37800000,38800000,36900000,37300000,40100000,42700000,41800000,35900000,38300000,41500000,42700000,41400000,35600000,27300000,32500000,25800000,27600000,26400000
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18500,94300,111000,126000,145000,282000,136000,343000,274000,658000,445000,1380000,1770000,1970000,1710000,1840000,2130000,2410000,2460000
United Kingdom,117000000,112000000,104000000,104000000,102000000,96000000,85100000,74500000,80700000,71100000,71500000,72800000,73000000,71100000,76500000,71100000,70700000,65900000,66500000,47300000,62900000,67900000,69600000,67500000,65000000,64900000,65100000,61200000,53300000,49700000,47500000,44400000,39600000,38600000,34300000,36700000,38900000,35700000,38100000,36600000,37400000,40900000,38400000,35600000,29800000,30900000,31400000,39000000,37000000,29800000,23100000,11100000,9060000,7580000,6260000
United States,277000000,291000000,285000000,295000000,296000000,294000000,278000000,289000000,311000000,303000000,303000000,325000000,333000000,330000000,360000000,369000000,381000000,367000000,381000000,409000000,418000000,413000000,431000000,451000000,457000000,459000000,455000000,458000000,475000000,477000000,481000000,503000000,513000000,518000000,518000000,541000000,525000000,524000000,534000000,538000000,546000000,537000000,545000000,536000000,471000000,499000000,471000000,416000000,432000000,431000000,372000000,341000000,331000000,317000000,271000000
Uzbekistan,,,,,,,,,,,,,,,,,,,,,1490000,1680000,1400000,1540000,1740000,1820000,1670000,1310000,1070000,1080000,892000,833000,828000,830000,830000,709000,770000,783000,547000,765000,850000,879000,923000,1010000,1030000,1020000,1090000,1160000,1620000,1550000,1390000,1300000,1540000,2030000,1740000
Venezuela,20000,21000,22000,23000,24000,24000,143000,150000,272000,204000,252000,165000,256000,78900,164000,157000,155000,88300,124000,135000,179000,199000,261000,190000,522000,463000,0,3650,28500,55500,5110,16100,34300,35800,36500,132000,48900,18200,43100,0,37200,247000,139000,141000,237000,199000,205000,211000,210000,197000,137000,123000,127000,115000,75500
Vietnam,898000,943000,1030000,1150000,1220000,1300000,1430000,1080000,1550000,1850000,2580000,2430000,2670000,2580000,2670000,2270000,2530000,2800000,2820000,2820000,2800000,3090000,3450000,3230000,2590000,2220000,2150000,2150000,2080000,2300000,3100000,3460000,4440000,4770000,3570000,4690000,5120000,5850000,6810000,8930000,9350000,5730000,6270000,11900000,11200000,14600000,17300000,16100000,17200000,20800000,26200000,28400000,28400000,38000000,49400000
